id,name,state_id:id
county_gt_1,Cobán,base.state_gt_ave
county_gt_2,Santa Cruz Verapaz,base.state_gt_ave
county_gt_3,San Cristóbal Verapaz,base.state_gt_ave
county_gt_4,Tactic,base.state_gt_ave
county_gt_5,San Miguel Tucurú,base.state_gt_ave
county_gt_6,Panzós,base.state_gt_ave
county_gt_7,Senahú,base.state_gt_ave
county_gt_8,San Pedro Carchá,base.state_gt_ave
county_gt_9,San Juan Chamelco,base.state_gt_ave
county_gt_10,San Agustín Lanquín,base.state_gt_ave
county_gt_11,Santa María Cahabón,base.state_gt_ave
county_gt_12,Chisec,base.state_gt_ave
county_gt_13,Chahal,base.state_gt_ave
county_gt_14,Fray Bartolomé de las Casas,base.state_gt_ave
county_gt_15,Santa Catalina La Tinta,base.state_gt_ave
county_gt_16,Tamahú,base.state_gt_ave
county_gt_17,Raxruhá,base.state_gt_ave
county_gt_18,Salamá,base.state_gt_bve
county_gt_19,San Miguel Chicaj,base.state_gt_bve
county_gt_20,Rabinal,base.state_gt_bve
county_gt_21,Cubulco,base.state_gt_bve
county_gt_22,Granados,base.state_gt_bve
county_gt_23,Santa Cruz el Chol,base.state_gt_bve
county_gt_24,San Jerónimo,base.state_gt_bve
county_gt_25,Purulhá,base.state_gt_bve
county_gt_26,Chimaltenango,base.state_gt_cmt
county_gt_27,San José Poaquil,base.state_gt_cmt
county_gt_28,San Martín Jilotepeque,base.state_gt_cmt
county_gt_29,San Juan Comalapa,base.state_gt_cmt
county_gt_30,Santa Apolonia,base.state_gt_cmt
county_gt_31,Tecpán,base.state_gt_cmt
county_gt_32,Patzún,base.state_gt_cmt
county_gt_33,San Miguel Pochuta,base.state_gt_cmt
county_gt_34,Patzicía,base.state_gt_cmt
county_gt_35,Santa Cruz Balanyá,base.state_gt_cmt
county_gt_36,Acatenango,base.state_gt_cmt
county_gt_37,San Pedro Yepocapa,base.state_gt_cmt
county_gt_38,San Andrés Itzapa,base.state_gt_cmt
county_gt_39,Parramos,base.state_gt_cmt
county_gt_40,Zaragoza,base.state_gt_cmt
county_gt_41,El Tejar,base.state_gt_cmt
county_gt_42,Chiquimula,base.state_gt_cqm
county_gt_43,Jocotán,base.state_gt_cqm
county_gt_44,Esquipulas,base.state_gt_cqm
county_gt_45,Camotán,base.state_gt_cqm
county_gt_46,Quetzaltepeque,base.state_gt_cqm
county_gt_47,Olopa,base.state_gt_cqm
county_gt_48,Ipala,base.state_gt_cqm
county_gt_49,San Juan Ermita,base.state_gt_cqm
county_gt_50,Concepción Las Minas,base.state_gt_cqm
county_gt_51,San Jacinto,base.state_gt_cqm
county_gt_52,San José la Arada,base.state_gt_cqm
county_gt_53,Flores,base.state_gt_pet
county_gt_54,San José,base.state_gt_pet
county_gt_55,San Benito,base.state_gt_pet
county_gt_56,San Andrés,base.state_gt_pet
county_gt_57,La Libertad,base.state_gt_pet
county_gt_58,San Francisco,base.state_gt_pet
county_gt_59,Santa Ana,base.state_gt_pet
county_gt_60,Dolores,base.state_gt_pet
county_gt_61,San Luis,base.state_gt_pet
county_gt_62,Sayaxché,base.state_gt_pet
county_gt_63,Melchor de Mencos,base.state_gt_pet
county_gt_64,El Chal,base.state_gt_pet
county_gt_65,Las Cruces,base.state_gt_pet
county_gt_66,Poptún,base.state_gt_pet
county_gt_67,El Jícaro,base.state_gt_epr
county_gt_68,Morazán,base.state_gt_epr
county_gt_69,San Agustín Acasaguastlán,base.state_gt_epr
county_gt_70,San Antonio La Paz,base.state_gt_epr
county_gt_71,San Cristóbal Acasaguastlán,base.state_gt_epr
county_gt_72,Sanarate,base.state_gt_epr
county_gt_73,Guastatoya,base.state_gt_epr
county_gt_74,Sansare,base.state_gt_epr
county_gt_75,Santa Cruz del Quiché,base.state_gt_qui
county_gt_76,Chiché,base.state_gt_qui
county_gt_77,Chinique,base.state_gt_qui
county_gt_78,Zacualpa,base.state_gt_qui
county_gt_79,Chajul,base.state_gt_qui
county_gt_80,Santo Tomás Chichicastenango,base.state_gt_qui
county_gt_81,Patzité,base.state_gt_qui
county_gt_82,San Antonio Ilotenango,base.state_gt_qui
county_gt_83,San Pedro Jocopilas,base.state_gt_qui
county_gt_84,Cunén,base.state_gt_qui
county_gt_85,San Juan Cotzal,base.state_gt_qui
county_gt_86,Santa María Joyabaj,base.state_gt_qui
county_gt_87,Santa María Nebaj,base.state_gt_qui
county_gt_88,San Andrés Sajcabajá,base.state_gt_qui
county_gt_89,Uspantán,base.state_gt_qui
county_gt_90,Sacapulas,base.state_gt_qui
